1;1;There;150;900
1;2;were;150;900
1;3;once;150;900
1;4;a man;150;900
1;5;and;150;900
1;6;a woman;150;900
1;7;who;150;900
1;8;had;150;900
1;9;long;150;900
1;10;in;150;900
1;11;vain;150;900
1;12;wished;150;900
1;13;for;150;900
1;14;a child.;150;900
2;1;At;150;900
2;2;length;150;1350
2;3;the woman;150;1350
2;4;hoped;150;1350
2;5;that;150;1350
2;6;God;150;1350
2;7;was;150;1350
2;8;about;150;1350
2;9;to;150;1350
2;10;grant;150;1350
2;11;her;150;1350
2;12;desire.;150;1350
3;1;These;150;1350
3;2;people;150;1350
3;3;had;150;1350
3;4;a little;150;1350
3;5;window;150;1800
3;6;at;150;1800
3;7;the back;150;1800
3;8;of;150;1800
3;9;their;150;1800
3;10;house;150;1800
3;11;from;150;1800
3;12;which;150;1800
3;13;a splendid;150;1800
3;14;garden;150;1800
3;15;could;150;1800
3;16;be;150;1800
3;17;seen,;150;1800
3;18;which;150;1800
3;19;was;150;1800
3;20;full;70;900
3;21;of;70;900
3;22;the most;70;900
3;23;beautiful;70;900
3;24;flowers;70;900
3;25;and;70;900
3;26;herbs.;70;900
4;1;It;70;900
4;2;was,;70;900
4;3;however,;70;900
4;4;surrounded;70;900
4;5;by;70;900
4;6;a high;70;900
4;7;wall,;70;900
4;8;and;70;900
4;9;no;70;1350
4;10;one;70;1350
4;11;dared;70;1350
4;12;to;70;1350
4;13;go;70;1350
4;14;into;70;1350
4;15;it;70;1350
4;16;because;70;1350
4;17;it;70;1350
4;18;belonged;70;1350
4;19;to;70;1350
4;20;an enchantress,;70;1350
4;21;who;70;1350
4;22;had;70;1350
4;23;great;70;1350
4;24;power;70;1800
4;25;and;70;1800
4;26;was;70;1800
4;27;dreaded;70;1800
4;28;by;70;1800
4;29;all;70;1800
4;30;the world.;70;1800
5;1;One;70;1800
5;2;day;70;1800
5;3;the woman;70;1800
5;4;was;70;1800
5;5;standing;70;1800
5;6;by;70;1800
5;7;this;70;1800
5;8;window;70;1800
5;9;and;15;900
5;10;looking;15;900
5;11;down;15;900
5;12;into;15;900
5;13;the garden,;15;900
5;14;when;15;900
5;15;she;15;900
5;16;saw;15;900
5;17;a bed;15;900
5;18;which;15;900
5;19;was;15;900
5;20;planted;15;900
5;21;with;15;900
5;22;the most;15;900
5;23;beautiful;15;900
5;24;rampion;15;1350
5;25;(rapunzel),;15;1350
5;26;and;15;1350
5;27;it;15;1350
5;28;looked;15;1350
5;29;so;15;1350
5;30;fresh;15;1350
5;31;and;15;1350
5;32;green;15;1350
5;33;that;15;1350
5;34;she;15;1350
5;35;longed;15;1350
5;36;for;15;1350
5;37;it,;15;1350
5;38;she;15;1350
5;39;quite;15;1800
5;40;pined;15;1800
5;41;away,;15;1800
5;42;and;15;1800
5;43;began;15;1800
5;44;to;15;1800
5;45;look;15;1800
5;46;pale;15;1800
5;47;and;15;1800
5;48;miserable.;15;1800
6;1;Then;15;1800
6;2;her;15;1800
6;3;husband;15;1800
6;4;was;15;1800
6;5;alarmed,;15;1800
