1;1;'What;90;1800
1;2;ails;150;900
1;3;you,;150;900
1;4;dear;150;900
1;5;wife?';150;900
1;6;'Ah,';150;900
1;7;she;150;900
1;8;replied,;150;900
1;9;'if;150;900
1;10;I;150;900
1;11;can't;150;900
1;12;eat;150;900
1;13;some;150;900
1;14;of;150;900
1;15;the rampion,;150;900
1;16;which;150;1350
1;17;is;150;1350
1;18;in;150;1350
1;19;the garden;150;1350
1;20;behind;150;1350
1;21;our;150;1350
1;22;house,;150;1350
1;23;I;150;1350
1;24;shall;150;1350
1;25;die.';150;1350
2;1;The man,;150;1350
2;2;who;150;1350
2;3;loved;150;1350
2;4;her,;150;1350
2;5;thought:;150;1350
2;6;'Sooner;150;1800
2;7;than;150;1800
2;8;let;150;1800
2;9;your;150;1800
2;10;wife;150;1800
2;11;die,;150;1800
2;12;bring;150;1800
2;13;her;150;1800
2;14;some;150;1800
2;15;of;150;1800
2;16;the rampion;150;1800
2;17;yourself,;150;1800
2;18;let;150;1800
2;19;it;150;1800
2;20;cost;150;1800
2;21;what;70;900
2;22;it;70;900
2;23;will.';70;900
3;1;At;70;900
3;2;twilight,;70;900
3;3;he;70;900
3;4;clambered;70;900
3;5;down;70;900
3;6;over;70;900
3;7;the wall;70;900
3;8;into;70;900
3;9;the garden;70;900
3;10;of;70;900
3;11;the enchantress,;70;900
3;12;hastily;70;900
3;13;clutched;70;1350
3;14;a handful;70;1350
3;15;of;70;1350
3;16;rampion,;70;1350
3;17;and;70;1350
3;18;took;70;1350
3;19;it;70;1350
3;20;to;70;1350
3;21;his;70;1350
3;22;wife.;70;1350
4;1;She;70;1350
4;2;at;70;1350
4;3;once;70;1350
4;4;made;70;1350
4;5;herself;70;1350
4;6;a salad;70;1800
4;7;of;70;1800
4;8;it,;70;1800
4;9;and;70;1800
4;10;ate;70;1800
4;11;it;70;1800
4;12;greedily.;70;1800
5;1;It;70;1800
5;2;tasted;70;1800
5;3;so;70;1800
5;4;good;70;1800
5;5;to;70;1800
5;6;her--so;70;1800
5;7;very;70;1800
5;8;good,;70;1800
5;9;that;15;900
5;10;the next;15;900
5;11;day;15;900
5;12;she;15;900
5;13;longed;15;900
5;14;for;15;900
5;15;it;15;900
5;16;three;15;900
5;17;times;15;900
5;18;as;15;900
5;19;much;15;900
5;20;as;15;900
5;21;before.;15;900
6;1;If;15;900
6;2;he;15;900
6;3;was;15;1350
6;4;to;15;1350
6;5;have;15;1350
6;6;any;15;1350
6;7;rest,;15;1350
6;8;her;15;1350
6;9;husband;15;1350
6;10;must;15;1350
6;11;once;15;1350
6;12;more;15;1350
6;13;descend;15;1350
6;14;into;15;1350
6;15;the garden.;15;1350
7;1;In;15;1350
7;2;the gloom;15;1350
7;3;of;15;1800
7;4;evening;15;1800
7;5;therefore,;15;1800
7;6;he;15;1800
7;7;let;15;1800
7;8;himself;15;1800
7;9;down;15;1800
7;10;again;;15;1800
7;11;but;15;1800
7;12;when;15;1800
7;13;he;15;1800
7;14;had;15;1800
7;15;clambered;15;1800
7;16;down;15;1800
7;17;the wall;15;1800
